PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1610000,914776,204,67,555006,2020-10-28 13:44:22.341668
1340000,826776,191,58,555006,2020-10-28 13:44:22.351668
1710000,978054,211,61,555006,2020-10-28 13:44:22.361668
1633000,875610,206,65,555006,2020-10-28 13:44:22.371668
1970000,946054,213,71,555006,2020-10-28 13:44:22.381668
1578000,1010054,205,62,555006,2020-10-28 13:44:22.391668
2200000,1050610,225,80,555006,2020-10-28 13:44:22.401668
1750000,1049054,215,67,555006,2020-10-28 13:44:22.411668
2020000,1087610,223,73,555006,2020-10-28 13:44:22.421668
2180000,1103332,220,72,555006,2020-10-28 13:44:22.431668
1800000,1016054,213,62,555006,2020-10-28 13:44:22.441668
1330010,942778,189,48,555006,2020-10-28 13:44:22.451668
2200000,1080610,223,74,555006,2020-10-28 13:44:22.461668
2203000,1066186,219,86,555006,2020-10-28 13:44:22.471668
1830000,1081332,215,73,555006,2020-10-28 13:44:22.481668
1840000,1032332,216,70,555006,2020-10-28 13:44:22.491668
1688000,886610,206,77,555006,2020-10-28 13:44:22.501668
1720000,929610,209,72,555006,2020-10-28 13:44:22.511668
1588000,907332,199,66,555006,2020-10-28 13:44:22.521668
1660000,908054,211,71,555006,2020-10-28 13:44:22.531668
1780000,890054,211,71,555006,2020-10-28 13:44:22.541668
2030000,1068610,225,71,555006,2020-10-28 13:44:22.551668
1740000,1033776,210,55,555006,2020-10-28 13:44:22.561668
1830000,1020054,213,65,555006,2020-10-28 13:44:22.571668
1790000,998332,214,70,555006,2020-10-28 13:44:22.581668
1373000,846630,191,59,555006,2020-10-28 13:44:22.591668
1860000,1084776,210,63,555006,2020-10-28 13:44:22.601668
1660000,985776,210,58,555006,2020-10-28 13:44:22.611668
1870000,929332,216,71,555006,2020-10-28 13:44:22.621668
2410000,1054166,233,87,555006,2020-10-28 13:44:22.631668
2014000,978610,209,71,555006,2020-10-28 13:44:22.641668
1878000,923888,203,70,555006,2020-10-28 13:44:22.651668
2010000,1088610,223,82,555006,2020-10-28 13:44:22.661668
1730000,945776,206,57,555006,2020-10-28 13:44:22.671668
1870000,1073332,220,64,555006,2020-10-28 13:44:22.681668
1630000,1013776,206,71,555006,2020-10-28 13:44:22.691668
1499000,762810,190,63,555006,2020-10-28 13:44:22.701668
2010000,983332,215,69,555006,2020-10-28 13:44:22.711668
1481000,920054,199,49,555006,2020-10-28 13:44:22.721668
1920000,919332,210,68,555006,2020-10-28 13:44:22.731668
1950000,971332,216,72,555006,2020-10-28 13:44:22.741668
2330000,1044166,230,85,555006,2020-10-28 13:44:22.751668
2050000,1134610,225,69,555006,2020-10-28 13:44:22.761668
1880000,1080332,220,73,555006,2020-10-28 13:44:22.771668
1280000,960498,205,49,555006,2020-10-28 13:44:22.781668
1369010,756610,188,68,555006,2020-10-28 13:44:22.791668
2170000,1118610,225,75,555006,2020-10-28 13:44:22.801668
1740000,901332,214,74,555006,2020-10-28 13:44:22.811668
1690010,820332,197,68,555006,2020-10-28 13:44:22.821668
1664000,941776,194,46,555006,2020-10-28 13:44:22.831668
1970000,1116332,220,68,555006,2020-10-28 13:44:22.841668
1770000,1065332,220,62,555006,2020-10-28 13:44:22.851668
1880000,994332,213,77,555006,2020-10-28 13:44:22.861668
1587000,899332,204,70,555006,2020-10-28 13:44:22.871668
1630000,920776,208,61,555006,2020-10-28 13:44:22.881668
1524000,860332,201,67,555006,2020-10-28 13:44:22.891668
1307000,726054,191,68,555006,2020-10-28 13:44:22.901668
1890000,1028054,213,64,555006,2020-10-28 13:44:22.911668
1854000,938610,210,66,555006,2020-10-28 13:44:22.921668
1880000,1080054,215,64,555006,2020-10-28 13:44:22.931668
1790000,1081776,210,61,555006,2020-10-28 13:44:22.941668
1600000,1004776,210,60,555006,2020-10-28 13:44:22.951668
1493000,959554,200,53,555006,2020-10-28 13:44:22.961668
1400000,961498,203,48,555006,2020-10-28 13:44:22.971668
1740000,1043776,210,59,555006,2020-10-28 13:44:22.981668
1610000,886054,202,73,555006,2020-10-28 13:44:22.991668
1630000,814054,205,68,555006,2020-10-28 13:44:23.001668
1945000,978610,209,69,555006,2020-10-28 13:44:23.011668
1650010,863332,202,62,555006,2020-10-28 13:44:23.021668
1990000,1045610,223,68,555006,2020-10-28 13:44:23.031668
1590000,883776,201,62,555006,2020-10-28 13:44:23.041668
1160000,837776,199,58,555006,2020-10-28 13:44:23.051668
1950000,1044332,220,64,555006,2020-10-28 13:44:23.061668
1397000,813332,197,62,555006,2020-10-28 13:44:23.071668
1900000,1133332,220,69,555006,2020-10-28 13:44:23.081668
1730000,982776,208,66,555006,2020-10-28 13:44:23.091668
1440000,873776,204,65,555006,2020-10-28 13:44:23.101668
2000000,1108610,225,74,555006,2020-10-28 13:44:23.111668
1420000,893776,205,57,555006,2020-10-28 13:44:23.121668
1320000,909498,203,54,555006,2020-10-28 13:44:23.131668
2070000,1034610,223,80,555006,2020-10-28 13:44:23.141668
2190000,1067610,225,74,555006,2020-10-28 13:44:23.151668
2140000,1032610,223,78,555006,2020-10-28 13:44:23.161668
1899000,902332,212,72,555006,2020-10-28 13:44:23.171668
1450000,909498,201,62,555006,2020-10-28 13:44:23.181668
1750000,1047776,210,61,555006,2020-10-28 13:44:23.191668
1269000,817498,194,63,555006,2020-10-28 13:44:23.201668
1963000,929888,212,74,555006,2020-10-28 13:44:23.211668
1680000,988054,213,60,555006,2020-10-28 13:44:23.221668
1620000,1030054,211,72,555006,2020-10-28 13:44:23.231668
1500000,864054,206,63,555006,2020-10-28 13:44:23.241668
2004000,1003110,210,73,555006,2020-10-28 13:44:23.251668
1548000,754332,194,69,555006,2020-10-28 13:44:23.261668
1770000,903776,206,60,555006,2020-10-28 13:44:23.271668
1450000,924776,204,64,555006,2020-10-28 13:44:23.281668
1758000,1017610,210,70,555006,2020-10-28 13:44:23.291668
1560000,702054,205,71,555006,2020-10-28 13:44:23.301668
2210000,1089888,226,78,555006,2020-10-28 13:44:23.311668
1490000,862776,206,62,555006,2020-10-28 13:44:23.321668
1383000,743332,185,58,555006,2020-10-28 13:44:23.331668
1900000,1031332,218,78,555006,2020-10-28 13:44:23.341668
2174000,1060168,219,77,555006,2020-10-28 13:44:23.351668
1169000,799054,194,68,555006,2020-10-28 13:44:23.361668
1820000,981332,215,71,555006,2020-10-28 13:44:23.371668
2000000,994332,218,77,555006,2020-10-28 13:44:23.381668
1610000,1028054,213,70,555006,2020-10-28 13:44:23.391668
1434000,868334,202,68,555006,2020-10-28 13:44:23.401668
1800000,937054,215,63,555006,2020-10-28 13:44:23.411668
2080000,1102332,220,70,555006,2020-10-28 13:44:23.421668
1820000,1042054,215,55,555006,2020-10-28 13:44:23.431668
1620000,1015776,208,61,555006,2020-10-28 13:44:23.441668
1594000,891776,195,58,555006,2020-10-28 13:44:23.451668
2220000,1035610,220,73,555006,2020-10-28 13:44:23.461668
1310000,805498,197,56,555006,2020-10-28 13:44:23.471668
2010000,1062332,220,68,555006,2020-10-28 13:44:23.481668
1493000,869532,195,73,555006,2020-10-28 13:44:23.491668
2250000,1160888,230,81,555006,2020-10-28 13:44:23.501668
1660000,944776,206,63,555006,2020-10-28 13:44:23.511668
1734000,983332,204,65,555006,2020-10-28 13:44:23.521668
1780000,971332,212,75,555006,2020-10-28 13:44:23.531668
1950000,978332,218,71,555006,2020-10-28 13:44:23.541668
1650000,1055776,210,56,555006,2020-10-28 13:44:23.551668
2110000,1108610,225,77,555006,2020-10-28 13:44:23.561668
1784000,967610,207,67,555006,2020-10-28 13:44:23.571668
1340100,783074,193,58,555006,2020-10-28 13:44:23.581668
1940000,1090054,215,59,555006,2020-10-28 13:44:23.591668
2000000,1097610,221,70,555006,2020-10-28 13:44:23.601668
1450000,961498,205,50,555006,2020-10-28 13:44:23.611668
1650000,924054,210,69,555006,2020-10-28 13:44:23.621668
1581000,974554,199,51,555006,2020-10-28 13:44:23.631668
1594000,896554,198,57,555006,2020-10-28 13:44:23.641668
1675100,818890,198,63,555006,2020-10-28 13:44:23.651668
1950000,1095610,225,72,555006,2020-10-28 13:44:23.661668
1880000,1026332,218,77,555006,2020-10-28 13:44:23.671668
